EmployeeID,Age,Gender,Tenure,JobSatisfaction,Salary,WeeklyHours,Department,LeftCompany
1,58,Male,5.0,3,61401,45,HR,1
2,48,Female,14.0,5,101831,57,HR,0
3,34,Female,0.1,2,149503,31,Finance,0
4,27,Male,3.4,4,145760,40,Finance,1
5,40,Female,5.5,2,131529,39,Finance,0
6,58,Male,7.3,5,64084,44,HR,0
7,38,Female,12.8,5,140641,46,Sales,0
8,42,Male,1.3,4,135111,37,Operations,0
9,30,Male,12.1,2,85826,47,Sales,0
10,30,Male,0.8,5,66451,52,Sales,0
11,43,Female,12.6,3,37227,38,HR,0
12,55,Male,0.8,1,61910,54,Sales,1
13,59,Female,0.3,1,66041,37,IT,0
14,43,Male,10.5,1,118920,56,Finance,0
15,22,Male,15.0,2,95681,43,IT,1
16,41,Female,13.4,4,133314,57,Operations,0
17,21,Male,8.6,5,111571,55,Finance,0
18,43,Male,13.8,3,95481,54,Sales,0
19,49,Female,0.1,3,98576,47,Operations,0
20,57,Male,14.6,2,137958,51,Finance,1
21,21,Male,7.4,1,94174,49,Sales,0
22,40,Male,10.8,2,56160,59,IT,1
23,52,Male,12.3,4,145170,49,Finance,0
24,31,Female,10.8,4,147867,50,Sales,0
25,41,Female,8.0,5,47633,41,IT,0
26,44,Male,7.1,5,124880,48,Operations,0
27,46,Female,12.6,4,47014,43,Operations,0
28,47,Male,3.1,4,110532,46,Operations,0
29,35,Female,14.5,4,79104,53,Operations,0
30,34,Male,10.7,2,71621,50,HR,0
31,22,Male,3.0,4,107231,32,Finance,1
32,56,Male,11.0,3,98388,55,Finance,0
33,26,Male,7.9,1,46014,59,HR,0
34,40,Male,10.6,4,122578,52,Sales,1
35,28,Male,11.5,1,63755,36,Sales,1
36,58,Female,1.3,2,70390,46,Operations,0
37,37,Male,7.6,1,53711,41,IT,1
38,23,Female,14.0,2,121658,38,Sales,0
39,44,Male,4.8,3,87993,44,IT,0
40,33,Female,8.9,2,104696,47,Finance,0
41,28,Female,5.5,2,57213,50,IT,1
42,45,Female,6.8,5,145788,42,Finance,0
43,21,Male,8.2,4,134956,59,HR,0
44,39,Male,8.2,4,87784,50,HR,0
45,47,Female,3.0,3,37421,59,Operations,1
46,26,Male,10.3,3,116936,37,Sales,1
47,27,Female,1.3,4,129073,43,Operations,0
48,54,Male,2.1,5,47727,37,Finance,1
49,33,Female,0.0,4,142418,43,Operations,0
50,36,Female,1.8,5,34358,36,IT,0
51,55,Male,7.1,3,95108,52,Finance,0
52,59,Female,9.1,1,124018,41,HR,0
53,23,Male,11.9,3,62117,40,Sales,0
54,21,Female,1.6,3,118700,51,Finance,0
55,25,Female,12.8,2,61910,51,Finance,0
56,23,Male,11.2,2,128032,40,IT,1
57,48,Male,6.1,2,85754,54,Sales,1
58,37,Male,14.0,2,92438,51,HR,1
59,45,Female,14.9,5,139847,57,Finance,1
60,53,Male,3.1,4,59371,58,Finance,0
61,29,Female,5.7,1,81501,42,IT,0
62,55,Female,13.9,3,90946,47,Operations,0
63,33,Male,10.8,5,68467,31,HR,0
64,50,Male,0.7,1,47625,58,Sales,0
65,34,Female,11.7,5,63893,50,Finance,0
66,27,Female,12.4,5,106329,44,Finance,0
67,33,Male,11.3,3,61007,49,HR,0
68,42,Male,12.0,4,121302,56,Operations,0
